Question	Answer
¿Dónde puedo consultar información sobre las nuevas funciones de Creative Cloud?	Puede aprender todo lo necesario sobre las últimas funciones de Creative Cloud en la página de resumen. Para conocer lo que se incluye en la última versión de cada aplicación de escritorio de Creative Cloud, consulte cada página de producto de Adobe.com.
¿Tengo que tener conexión a Internet para acceder a mis aplicaciones de escritorio?	"No. Las aplicaciones de escritorio de Creative Cloud, como Photoshop e Illustrator, se instalan directamente en su ordenador. Por lo tanto, no es necesaria una conexión activa a Internet para utilizarlas.
Se requiere conexión a Internet la primera vez que instala y obtiene la licencia de sus aplicaciones. No obstante, puede utilizarlas sin conexión con una licencia de software válida. Las aplicaciones de escritorio tratan de validar sus licencias de software cada 30 días.
Los usuarios con abono anual podrán utilizar las aplicaciones hasta 99 días sin necesidad de estar conectados a Internet. Los usuarios con abono mensual podrán utilizar el software sin conexión hasta 30 días."
¿Cómo se accede a las aplicaciones de Creative Cloud?	Las aplicaciones se instalan y ejecutan en su equipo, como cualquier otra aplicación de escritorio. La primera vez que descargue cualquiera de las aplicaciones creativas individuales, se descargará automáticamente Creative Cloud para escritorio. Utilice la aplicación de escritorio de Creative Cloud para acceder, descargar y actualizar cualquier aplicación creativa por separado.
¿Qué es Adobe Content Synchronizer?	Adobe Content Synchronizer es la tecnología subyacente de Creative Cloud que sincroniza de manera inteligente tus activos, fuentes, fotos, ajustes, activos de Adobe Stock y mucho más. Estos elementos aparecen instantáneamente en su flujo de trabajo, siempre que los necesite y en el formato adecuado. Gracias a Adobe Content Synchronizer, disponible exclusivamente en Creative Cloud, tendrás todo lo que necesitas siempre al alcance de la mano a medida que pases de una aplicación a otra o de un dispositivo móvil al escritorio.
¿Puedo enviar archivos a personas que no disponen de un abono a Creative Cloud? ¿Podrán ver o compartir los archivos?	"Sí, puede compartir archivos que haya creado con las aplicaciones de Creative Cloud, al igual que cualquier otro archivo, a través del correo electrónico o FTP, entre otras opciones.
Además, las funciones de uso compartido de Creative Cloud le permiten compartir archivos con cualquier persona, dejándoles ver los archivos en un navegador. Los observadores podrán también activar y desactivar capas, ver los metadatos pertinentes, comentar e incluso descargar los archivos para editarlos.
Puede administrar la configuración de uso compartido de archivos en su página de Archivos de Creative Cloud."
Como abonado a Creative Cloud, ¿estoy obligado a instalar una actualización de mejora en una aplicación de escritorio cuando esté disponible?	No. Puede seguir utilizando su versión actual del producto siempre y cuando disponga de un abono activo. Tiene total flexibilidad para elegir si quiere instalar o no una versión nueva.
Actualmente cuento con una edición anterior de Adobe Creative Suite con licencia perpetua en mi ordenador. ¿Puedo utilizar tanto mis productos de Creative Suite como las aplicaciones de Creative Cloud en mi ordenador?	Sí. La instalación actual del producto Creative Suite no se ve afectada por la instalación de aplicaciones de productos Creative Cloud. Por ejemplo, puede instalar y utilizar Photoshop CS6 con licencia permanente en el mismo equipo en que se encuentre Photoshop.
¿Cuándo empieza mi abono?	"Si ha adquirido su abono directamente en el sitio web de Adobe, el abono se activará cuando Adobe Store termine de tramitar el pedido.
Si adquiere su abono para particulares a través de un minorista o de una tienda online, comienza en cuanto introduzca el código de canje.
Si adquiere su abono para equipos a través de un distribuidor, el abono comenzará en cuanto añada licencias a su cuenta."
¿Qué pasa con mis ventajas si decido dejar de ser abonado?	Podrá seguir disfrutando de las ventajas gratuitas para los abonados a Creative Cloud. Además, si tiene guardado trabajo en el equipo, seguirá teniendo acceso a los correspondientes archivos en su propio dispositivo. Ya no tendrá acceso a las aplicaciones de Creative Cloud ni a la mayoría de los servicios incluidos en el abono a Creative Cloud.
¿Qué debo hacer si se produce algún problema al descargar el software?	Consulte las instrucciones de descarga, visite el foro de descarga e instalación de Creative Cloud o busque soluciones a problemas específicos.
¿Puedo utilizar las aplicaciones que descargo de Creative Cloud para individuos en más de un ordenador?	"Sí. Puede descargar e instalar las aplicaciones de Creative Cloud para individuos en varios ordenadores, sea cual sea su sistema operativo. No obstante, la activación se limita a dos ordenadores por persona por licencia, en los que no se podrá utilizar el software simultáneamente.
Para obtener más información, consulte las Condiciones de uso. Descubra cómo desactivar una licencia de Creative Cloud en un dispositivo."
¿Dónde puedo encontrar los términos y condiciones del abono a Creative Cloud?	Su acceso a Creative Cloud se rige por las Condiciones de uso. También puede acceder a sus condiciones de suscripción aquí.
¿Dónde puedo obtener más información sobre la gestión de mi cuenta?	Descubra cómo cambiar la información de la cuenta; modifique los datos de la tarjeta de crédito; o actualice, renueve o cancele su abono aquí.
¿Por qué me pide Adobe que comparta información sobre cómo utilizo las aplicaciones de escritorio de Creative Cloud?	Con Creative Cloud, tiene la posibilidad de compartir información con Adobe sobre cómo utiliza las aplicaciones de escritorio de Creative Cloud. Esta información nos permite ofrecerle una experiencia más personalizada y nos ayuda a mejorar la calidad y las funciones de nuestros productos. Esta opción se activa de forma predeterminada y la información se asocia con su cuenta de Creative Cloud. Puede cambiar las preferencias en cualquier momento en la página de su cuenta.
¿Puedo decidir no compartir información sobre cómo utilizo las aplicaciones de escritorio de Creative Cloud?	"Sí. Puede elegir no compartir información sobre el uso que haga de las aplicaciones de escritorio de Creative Cloud en las preferencias de la página de su cuenta.
Esta configuración se aplica a cómo utiliza las funciones en las aplicaciones de escritorio, no a los servicios utilizados por dichas aplicaciones, como Behance. Estos servicios se rigen por sus propias políticas de privacidad o por la Política de privacidad de Adobe."
¿Qué información se comparte y cómo la utiliza Adobe?	"Tiene la posibilidad de compartir los siguientes tipos de información sobre cómo utiliza las aplicaciones de escritorio de Creative Cloud:
Esta información puede utilizarse para personalizar la experiencia con la aplicación y ofrecer datos de uso de las funciones a los equipos de productos, con el fin de mejorar el producto y comunicarse con usted.
El contenido y la información acerca del contenido de sus archivos no se comparten con Adobe.
Puede encontrar un resumen sobre cómo podría utilizar Adobe la información asociada a usted en el Centro de privacidad de Adobe.
Información del sistema, como el sistema operativo, el procesador y la cantidad de memoria instalada.
Información sobre el producto de Adobe, por ejemplo, el número de versión.
Información sobre el uso de las funciones de Adobe, por ejemplo, las opciones de menú o botones seleccionados."
¿Qué tipo de personalización se ofrece en las aplicaciones de Creative Cloud?	"Los usuarios podrán ver contenido de aprendizaje en las aplicaciones, lo que proporcionará contenido de aprendizaje personalizado sobre cómo se utiliza la aplicación.
Tenemos la intención de expandir la funcionalidad a otras aplicaciones de Creative Cloud mientras aprendemos más sobre el modo en que se utiliza el contenido de aprendizaje personalizado."
¿Qué opciones tienen los abonados a Creative Cloud para equipos, Creative Cloud para empresas y Creative Cloud para el sector educativo a la hora de compartir información acerca del uso de las aplicaciones de Creative Cloud?	"Si los administradores instalan aplicaciones mediante Creative Cloud Packager usando Enterprise ID, se desactivará la posibilidad de compartir información con Adobe sobre el uso de aplicaciones de Creative Cloud para los abonados a Creative Cloud para equipos, Creative Cloud para empresas y Creative Cloud para el sector educativo. Los administradores no pueden habilitarlo.
Sin embargo, si los administradores permiten a los usuarios instalar aplicaciones de Creative Cloud a través de la aplicación de escritorio de Creative Cloud usando una cuenta de Adobe, los usuarios podrán compartir información sobre el uso que hagan de las aplicaciones. Los usuarios pueden modificar estas preferencias en cualquier momento en la página de su cuenta."
¿Cómo puedo adquirir un abono a Creative Cloud?	Disponemos de diferentes planes para particulares, equipos y empresas. Obtenga más información en la página de planes de abono a Creative Cloud.
¿En qué países puedo adquirir un abono a Creative Cloud?	Consulte la última lista de países en los que está disponible Creative Cloud para individuos, equipos y pequeños negocios. Los clientes empresariales deben solicitar una consulta.
¿Qué opciones de pago tengo disponibles para adquirir un abono a Creative Cloud?	En todos los países donde se ofrecen los abonos de Creative Cloud se pueden pagar con tarjeta de crédito. El pago mediante PayPal solo se acepta en algunos países. Consulte las Opciones de pago.
¿En qué idiomas está disponible Creative Cloud?	"El sitio web de Creative Cloud está disponible en inglés, chino tradicional, checo, danés, neerlandés, finés, francés, alemán, italiano, japonés, coreano, noruego, polaco, portugués, ruso, español, sueco y turco. Puede que algunos servicios y aplicaciones de escritorio individuales no estén disponibles en todos estos idiomas.
Aprenda a cambiar el idioma de las aplicaciones de Creative Cloud."
¿Puedo adquirir el abono a una aplicación de escritorio única, como Photoshop?	"Sí. Ofrecemos un plan de aplicación única para la mayoría de nuestros productos.
Obtenga más información en la página de planes de Creative Cloud."
¿Cómo modifico mi información de facturación?	Conozca cómo modificar la información de la tarjeta de crédito y de facturación.
¿Puedo realizar un pago anticipado de mi abono a Creative Cloud?	Sí. Puede realizar un pago anticipado de un año para la mayoría de los planes de abono a Creative Cloud. Obtenga más información en la página de planes.
¿Qué ocurre si deseo cancelar mi abono?	"Cualquier suscripción cancelada en los primeros 14 días es totalmente reembolsable. Tras los primeros 14 días, se aplicarán las políticas de cancelación.
Para obtener más información sobre la cancelación de una suscripción, lea Cancelar la prueba o suscripción a Adobe."
¿Puedo comprar más de un abono de aplicación única?	Sí, puede adquirir varios planes de abono de aplicación única con una sola dirección de correo electrónico, siempre que sean para aplicaciones distintas.
¿Puedo adquirir una licencia vitalícia para las aplicaciones de Creative Cloud?	No. Las versiones de Creative Cloud de las aplicaciones de escritorio no están disponibles con licencia vitalicia.
Si pago con tarjeta de débito, ¿se me aplica algún cargo adicional?	En determinadas regiones, los bancos pueden cobrar un recargo por utilizar una tarjeta de débito. Para obtener más información, póngase en contacto con su banco.
¿Dónde puedo consultar la información más reciente sobre las aplicaciones de escritorio de Creative Cloud?	Descubra las novedades en las páginas de producto de las aplicaciones de escritorio.
¿Se pueden exportar archivos a CS6 en las aplicaciones de Creative Cloud?	Muchas de las aplicaciones de Creative Cloud ofrecen la posibilidad de exportar archivos a la versión Creative Suite 6 de la misma aplicación. Adobe pretende seguir ofreciendo la capacidad de exportar a CS6 en las aplicaciones que ya cuenten con esta posibilidad. Las nuevas funciones añadidas a las aplicaciones de escritorio posteriores a CS6 pueden no ser compatibles con el archivo exportado o con la aplicación de CS6.
¿Qué aplicaciones de Creative Cloud admiten la función de exportación a CS6?	"Las siguientes aplicaciones son compatibles con la capacidad de exportar a la versión CS6 de la aplicación:
Las aplicaciones que no se mencionan aquí pueden no ser compatibles con la exportación a Creative Suite 6 y puede que tampoco lo sean las versiones futuras. Las nuevas funciones añadidas a la lista anterior con posterioridad a CS6 pueden no ser compatibles con el archivo exportado o con la aplicación de CS6.
Photoshop
InDesign
Illustrator
Animate (antes denominado Flash Professional)
After Effects"
¿En qué sistemas operativos funcionan las aplicaciones de escritorio de Creative Cloud?	Los requisitos mínimos del sistema para cada aplicación de Creative Cloud pueden consultarse en la página de requisitos del sistema.
